"","ist","country_code","district_name","year","district_population","live_births","surviving_infants","under5pop","under15pop","cba_women","pregnant_women"
"171","CA","ANG","CAALA",2019,331023,13704,12775,44505,167413,72562,13704
"172","CA","ANG","CAALA",2020,342463,14109,13243,59727,171468,75749,14109
"173","CA","ANG","CAALA",2021,354274,14561,6070,62059,175399,79156,14561
"174","CA","ANG","CAALA",2022,366480,15026,14086,64369,179232,82786,15026
"175","CA","ANG","CAALA",2023,379102,15505,14544,66648,182991,86642,15505
"176","CA","ANG","CAALA",2024,392164,16000,15029,68890,186700,182943,16000
"177","CA","ANG","CABINDA",2017,679870.56691018,25291,23659,118841,318995,154807,25291
"178","CA","ANG","CABINDA",2018,679870.56691018,25291,23659,118841,318995,154807,25291
"179","CA","ANG","CABINDA",2019,718915,25521,23971,86220,308412,177847,25521
"180","CA","ANG","CABINDA",2020,739182,25650,24402,113437,315199,183311,25650
"181","CA","ANG","CABINDA",2021,759577,25826,15345,116091,321566,188940,25826
"182","CA","ANG","CABINDA",2022,780093,25977,24710,118235,327453,194748,25977
"183","CA","ANG","CABINDA",2023,800714,26103,24848,119844,332806,200739,26103
"184","CA","ANG","CABINDA",2024,821423,26204,24974,120902,337552,331309,26204
"185","CA","ANG","CACOLO",2017,35078.23532785,1305,1221,6132,16459,7987,1305
"186","CA","ANG","CACOLO",2018,35078.23532785,1305,1221,6132,16459,7987,1305
"187","CA","ANG","CACOLO",2019,37334,1303,1197,4360,17630,8368,1303
"188","CA","ANG","CACOLO",2020,38516,1329,1265,5810,17951,8720,1329
"189","CA","ANG","CACOLO",2021,39720,1354,3939,6005,18242,9095,1354
"190","CA","ANG","CACOLO",2022,40946,1380,1317,6185,18499,9495,1380
"191","CA","ANG","CACOLO",2023,42196,1409,1345,6349,18725,9919,1409
"192","CA","ANG","CACOLO",2024,43471,1439,1374,6496,18915,18571,1439
"193","CA","ANG","CACONDA",2017,183803.6984706,6837,6396,32129,86241,41852,6837
"194","CA","ANG","CACONDA",2018,183803.6984706,6837,6396,32129,86241,41852,6837
"195","CA","ANG","CACONDA",2019,195333,7559,7068,24951,94358,45024,7559
"196","CA","ANG","CACONDA",2020,201414,7734,7278,33198,96371,46753,7734
"197","CA","ANG","CACONDA",2021,207650,7911,29806,34282,98279,48588,7911
"198","CA","ANG","CACONDA",2022,214048,8112,7627,35322,100087,50530,8112
"199","CA","ANG","CACONDA",2023,220616,8295,7816,36317,101800,52584,8295
"200","CA","ANG","CACONDA",2024,227362,8503,8014,37265,103420,101417,8503
"201","CA","ANG","CACONGO",2017,42530.35195708,1582,1480,7434,19955,9684,1582
"202","CA","ANG","CACONGO",2018,42530.35195708,1582,1480,7434,19955,9684,1582
"203","CA","ANG","CACONGO",2019,44974,1597,1500,5394,19294,11126,1597
"204","CA","ANG","CACONGO",2020,46242,1605,1527,7096,19718,11468,1605
"205","CA","ANG","CACONGO",2021,47518,1616,1265,7262,20117,11820,1616
"206","CA","ANG","CACONGO",2022,48801,1625,1546,7397,20485,12183,1625
"207","CA","ANG","CACONGO",2023,50091,1633,1554,7497,20820,12558,1633
"208","CA","ANG","CACONGO",2024,51387,1639,1562,7563,21117,20726,1639
"209","CA","ANG","CACUACO",2017,1188674.26102501,44219,41366,207780,557726,270661,44219
"210","CA","ANG","CACUACO",2018,1188674.26102501,44219,41366,207780,557726,270661,44219
"211","CA","ANG","CACUACO",2019,836584,30703,28913,103584,351852,213473,30703
"212","CA","ANG","CACUACO",2020,864568,30952,29537,136926,361934,220662,30952
"213","CA","ANG","CACUACO",2021,892711,31156,7448,140678,371640,228011,31156
"214","CA","ANG","CACUACO",2022,920988,31406,30050,143747,380931,235510,31406
"215","CA","ANG","CACUACO",2023,949363,31614,30261,146094,389757,243141,31614
"216","CA","ANG","CACUACO",2024,977800,31779,30441,147672,398066,390456,31779
"217","CA","ANG","CACULA",2017,150023.24516391,5581,5221,26224,70391,34160,5581
"218","CA","ANG","CACULA",2018,150023.24516391,5581,5221,26224,70391,34160,5581
